Exercise ID,Exercise Name,Category,Subcategory,Duration (min),Description,Coaching Notes,Sets and reps,Difficulty,Equipment,Video URL,Status
,Spider Drill,Agility,8-10,8 min,"Start at center T. Sprint to each of 5 baseline balls, return each to center. Time per set.",Low center of gravity. Explosive push-off from outside foot. Change of direction is the key.,3×,Medium,Cones,https://www.youtube.com/watch?v=4sB5WxWFDgQ,Approved
,Cross Cone Drill,Agility,8-10,6 min,"4 cones in cross pattern. Sprint to each, return to center each time. Alternate direction.",Start slow for pattern integrity. Add pace only after 3 clean sets.,3×,Medium,Ladders,https://www.youtube.com/watch?v=6Ys5IUkqSHc,Approved
,T-Drill,Agility,10-12,8 min,"Cones in T shape. Sprint forward, shuffle left, shuffle right, backpedal. Timed.",Drive off outside foot on shuffles. Don't cross feet. Decelerate with control.,4×,High,Med ball,https://www.youtube.com/watch?v=VEdC2s-HPEM,Approved
,Figure-Eight Cone Drill,Agility,10-12,6 min,Two cones 5m apart. Figure-eight pattern around cones. Fast lateral movements.,Maintain low stance throughout. Eyes up. Quick directional change at each cone.,3×,Medium,Resistance Band,https://www.youtube.com/watch?v=k0Z9h7T3KoM,Approved
,Zig-Zag Sprint,Agility,8-10,6 min,6-8 cones in zigzag line. Sprint through as fast as possible. Plant and cut.,Short choppy steps approaching cone. Plant hard off outside foot. Stay low.,4×,High,None,https://www.youtube.com/watch?v=N0EeSJTBMgk,Approved
,Lateral Shuffle Drill,Agility,8-10,5 min,Shuffle baseline to baseline. Coach calls direction change randomly.,Feet never cross. Stay in athletic stance. Quick reaction to direction cue.,4×20s,Medium,Lines,https://www.youtube.com/watch?v=9A58n5eBBBU,Approved
,Star Drill,Agility,10-12,8 min,5 cones in star shape. Sprint from center to each point and back. Timed.,Explosive acceleration from center each time. Controlled deceleration at cones.,3×,High,Dots,https://www.youtube.com/watch?v=4sB5WxWFDgQ,Approved
,Mirror Drill,Agility,10-12,6 min,"Two players face each other on service line. One leads, one mirrors lateral movement.",Small quick steps. Stay low. React immediately. No anticipating.,4×10s,High,,https://www.youtube.com/watch?v=4sB5WxWFDgQ,Approved
,Cone Ladder Shuffle,Agility,8-10,5 min,Cones in straight line.11 Lateral shuffle through gaps. Progress to diagonal pattern.,Quick feet. Don't look down. Rhythm over speed to start.,3×,Medium,,https://www.youtube.com/watch?v=9A58n5eBBBU,Approved
,Reaction Ball Drill,Agility,10-12,6 min,Coach drops reaction ball. Player reacts and catches before 2nd bounce.,Split step before ball drops. Stay on balls of feet. Full sprint effort.,3×,High,,https://www.youtube.com/watch?v=6Ys5IUkqSHc,Approved
,Split Step Reaction,Speed,8-10,6 min,Partner tosses to random side. Player split steps then explodes to catch.,"Cue exactly at ball contact — not before, not after. Land low, explode wide.",5×,Medium,,https://www.youtube.com/watch?v=dU6tm_gaqO4,Approved
,Acceleration Sprint,Speed,10-12,6 min,Sprint baseline to service line. Max acceleration. Walk back recovery.,Drive knees. Pump arms. First 3 steps are everything. Full recovery between.,6×,High,,https://www.youtube.com/watch?v=N0EeSJTBMgk,Approved
